step,pos,reward,cost,hazard,collision,proximity,action,lambda
0,"[0, 1]",-5.6,0.0,False,False,False,RIGHT,0.0
1,"[0, 2]",-5.4,0.0,False,False,False,RIGHT,0.0
2,"[0, 3]",-5.2,0.0,False,False,False,RIGHT,0.0
3,"[0, 4]",-5.0,0.0,False,False,False,RIGHT,0.0
4,"[0, 5]",-4.8,0.0,False,False,False,RIGHT,0.0
5,"[1, 5]",-4.6,0.0,False,False,False,DOWN,0.0
6,"[1, 6]",-4.4,0.0,False,False,False,RIGHT,0.0
7,"[1, 7]",-4.2,0.0,False,False,False,RIGHT,0.0
8,"[1, 8]",-4.0,0.0,False,False,False,RIGHT,0.0
9,"[1, 9]",-3.8,0.0,False,False,False,RIGHT,0.0
10,"[1, 10]",-3.6,0.0,False,False,False,RIGHT,0.0
11,"[1, 11]",-3.4,0.0,False,False,False,RIGHT,0.0
12,"[1, 12]",-3.2,0.0,False,False,False,RIGHT,0.0
13,"[2, 12]",-3.0,0.0,False,False,False,DOWN,0.0
14,"[3, 12]",-2.8,0.0,False,False,False,DOWN,0.0
15,"[4, 12]",-2.6,0.0,False,False,False,DOWN,0.0
16,"[5, 12]",-2.4,0.0,False,False,False,DOWN,0.0
17,"[6, 12]",-2.2,0.0,False,False,False,DOWN,0.0
18,"[7, 12]",-2.0,0.0,False,False,False,DOWN,0.0
19,"[8, 12]",-1.8,0.0,False,False,False,DOWN,0.0
20,"[9, 12]",-1.6,0.0,False,False,False,DOWN,0.0
21,"[10, 12]",-1.4,0.0,False,False,False,DOWN,0.0
22,"[11, 12]",-1.2,0.0,False,False,False,DOWN,0.0
23,"[12, 12]",249.0,0.0,False,False,False,DOWN,0.0
